from,to,sign
5831,1228,1
5831,2233,1
5831,356,1
3056,8449,-1
8966,4491,1
8966,2223,-1
8966,8160,1
8966,1793,1
8966,524,1
8966,7190,1
5242,5524,1
8781,4168,1
8781,4781,1
1512,3855,1
1512,6829,1
1419,689,-1
1419,9559,1
1419,5362,-1
1419,5566,-1
1419,7855,1
1419,134,1
1419,1867,1
1419,9651,-1
1419,6190,1
1419,5553,-1
1419,1229,-1
1419,461,-1
1419,6337,-1
1419,7707,-1
1419,7211,1
1419,8315,-1
1419,5862,-1
1419,8748,-1
1419,7239,-1
1419,739,-1
1419,5374,-1
1419,450,-1
1419,2098,1
1419,9657,1
1419,6466,-1
1419,2755,-1
7390,7390,-1
7390,6750,-1
7390,5508,1
3558,7270,1
3312,3312,1
3312,4240,1
3312,9980,1
3312,2201,1
3312,2483,1
3312,2848,1
7379,1271,1
7379,4071,1
7379,2625,-1
7379,3220,-1
7379,900,-1
7379,4316,-1
7379,5406,1
7379,6440,1
7379,9040,1
7379,5043,-1
7379,4738,-1
7379,6366,1
7379,4360,-1
7379,4822,-1
7379,6290,-1
7379,3062,1
7379,2377,-1
7379,6205,-1
7379,731,1
7379,993,1
7379,9367,-1
7379,6606,1
7379,441,1
1051,3320,1
7905,7493,-1
5547,7896,1
6074,134,1
7916,2028,-1
1335,1335,-1
1335,8751,1
1335,1426,-1
6477,6477,1
6477,911,1
6477,7538,1
6477,2203,-1
6477,3086,1
6477,4234,1
6477,2016,1
6477,7518,1
6477,8720,1
6477,8114,1
6477,9507,1
6477,1793,1
6477,4901,1
6477,4088,1
6477,9458,1
6477,7229,1
6477,813,1
6477,3659,1
6477,2749,1
6477,1980,1
6477,9749,1
6477,9131,-1
6477,6109,1
7930,6115,1
7930,5860,1
7930,2091,1
7930,8650,1
5162,8574,1
5162,648,-1
2575,2575,1
2575,4222,-1
2575,4942,1
2575,8153,-1
2575,6516,1
2575,1786,1
2575,1294,1
2575,6329,1
2575,8000,1
2575,5419,1
2575,1986,-1
2575,2806,-1
2575,5566,1
2575,1017,1
2575,3884,1
2575,3840,-1
2575,5972,-1
2575,3277,1
2575,5733,1
2575,5106,-1
2575,6978,1
2575,7550,1
2575,1757,-1
2575,4693,-1
2575,5090,1
2575,1179,-1
2575,4020,1
2575,6151,1
2575,5171,1
2575,9969,1
2575,2924,1
2575,4023,1
2575,4704,1
2575,7061,1
2575,258,1
2575,6376,1
2575,2765,1
2575,3320,1
2575,9851,-1
2575,6950,-1
2575,4482,1
2575,9414,-1
2575,7190,-1
2575,2506,1
2575,69,1
2575,7723,1
2575,9606,-1
2575,6248,1
2575,6401,1
2575,9075,1
2575,817,-1
2575,5039,-1
2575,581,-1
4761,428,1
4761,3176,-1
4761,7827,-1
4761,10007,1
4900,5210,-1
6379,7390,1
6379,2092,-1
6379,8153,1
6379,421,1
3694,10022,1
3694,5573,1
4915,20,1
4915,9330,1
4915,3530,1
4915,2939,1
4915,8696,1
4915,6187,1
4915,4851,1
4915,8724,1
4915,1827,1
4915,7220,1
4915,9152,1
4915,6124,1
4915,8089,1
4915,8374,1
4915,8844,1
4915,2904,1
4915,7792,1
4915,6681,1
4915,3817,1
4915,37,1
4915,2195,1
6394,4090,1
3454,3454,1
3351,7258,-1
3155,8116,1
3155,2432,1
3155,737,1
3155,2774,1
3155,3990,1
3155,2574,1
3155,4453,-1
6691,10062,1
6691,6207,1
6691,5573,1
6691,7316,1
6691,767,1
6691,8938,-1
6691,390,1
6691,3483,1
6691,854,1
6691,2416,1
6691,3190,1
7988,7988,-1
7988,5553,1
7988,6367,-1
7988,8295,-1
1971,8153,1
1971,1228,1
4273,4273,1
4232,4232,1
2544,2544,-1
8266,3320,1
2625,2153,1
2625,2625,1
2625,6205,-1
2625,2765,1
3264,4678,1
9398,7390,1
8670,3236,1
8670,5402,1
8670,7826,1
8670,2862,-1
8670,2028,1
4701,4258,1
4701,4245,-1
4701,5926,1
4701,8208,-1
4701,5397,1
4701,1058,1
4701,6368,1
9632,6106,1
4891,3788,1
4891,4398,1
4891,3037,-1
4891,6511,1
4891,1300,1
4891,5344,1
4891,9778,1
4891,1303,1
4891,3455,-1
4891,8946,1
4891,5117,1
4891,9839,-1
4891,6820,1
4891,4651,1
4891,7970,1
4891,4624,1
4891,725,1
4891,10051,1
4891,8282,-1
4891,2213,-1
4891,4447,1
4891,4116,1
4891,8154,1
4891,3231,1
4891,6022,1
4891,4078,-1
3504,3504,-1
3504,3913,1
3504,1986,1
3504,1017,1
3504,522,1
3504,5470,1
3504,5733,1
3504,7732,1
3504,813,1
3504,9851,1
3504,421,1
5082,2427,1
5082,3739,-1
186,4304,1
186,5827,1
186,1990,1
186,6587,1
186,7317,-1
186,6954,1
186,6308,1
186,1650,1
186,5022,1
186,6044,1
186,7979,1
186,6152,1
186,3565,-1
186,1139,-1
186,7976,1
186,670,-1
186,9035,-1
186,4017,1
186,2115,-1
186,1501,-1
186,3320,1
186,9904,1
186,7486,-1
186,7282,-1
186,4677,1
186,2658,1
186,1795,1
186,135,-1
186,6240,-1
186,9867,-1
8693,4414,-1
8693,9559,-1
8693,5303,-1
8693,6623,-1
8693,5566,-1
8693,7500,-1
8693,5385,-1
8693,2517,-1
8693,1743,-1
8693,9991,1
8693,2304,1
8693,6739,-1
8693,7620,-1
8693,5169,1
8693,5553,1
8693,7187,-1
8693,6367,-1
8693,480,-1
8693,9853,-1
8693,10043,-1
8693,5237,-1
8693,4846,-1
8693,7671,-1
8693,1208,-1
8693,1935,-1
8693,4459,-1
8693,6969,-1
8693,3003,1
8693,9060,-1
8693,5683,-1
8693,9048,-1
8693,2802,-1
8693,7308,-1
8693,1535,-1
8693,2413,-1
8693,4897,-1
8693,7439,-1
6938,7377,1
1823,4545,1
1823,5117,1
1823,4624,1
4928,1139,1
4928,717,-1
5610,7436,1
5610,1220,-1
5610,738,1
5610,2357,-1
5610,253,-1
5610,2593,1
5610,7236,1
5610,7969,1
5610,36,1
5610,8512,-1
5610,4081,1
5610,8171,1
5610,8428,-1
5610,2100,-1
5610,10062,1
5610,3943,-1
5610,5526,-1
5610,2932,1
5610,4813,-1
5610,1990,-1
5610,6067,1
5610,1799,-1
5610,2371,-1
5610,8582,1
5610,7217,1
5610,9218,1
5610,9645,-1
5610,1929,1
5610,4352,1
5610,179,-1
5610,6633,1
5610,1185,-1
5610,1309,1
5610,3203,-1
5610,8547,-1
5610,6763,1
5610,358,1
5610,7219,-1
5610,879,1
5610,3191,-1
5610,2125,-1
5610,5459,1
5610,8797,1
5610,9374,-1
5610,3441,-1
5610,5230,-1
5610,2985,-1
5610,5172,-1
5610,3477,-1
5610,2576,-1
5610,7666,-1
5610,8062,-1
5610,6434,-1
5610,2223,-1
5610,3093,-1
5610,485,1
5610,8371,1
5610,8944,1
5610,6975,-1
5610,8912,1
5610,6697,1
5610,4270,1
5610,443,-1
5610,3610,1
5610,5548,-1
5610,3054,-1
5610,3496,-1
5610,5102,-1
5610,2126,1
5610,1578,-1
5610,3369,1
5610,346,-1
5610,276,-1
5610,945,-1
5610,4277,-1
5610,6296,1
5610,1877,1
5610,6464,1
5610,2085,-1
5610,9165,-1
5610,5902,1
5610,7958,1
5610,3103,-1
5610,530,1
5610,8917,-1
5610,5740,1
5610,8490,-1
5610,5033,1
5610,516,1
5610,141,1
5610,10048,-1
5610,10005,-1
5610,8418,-1
5610,8092,-1
5610,7549,1
5610,3825,-1
5610,9040,1
5610,6847,-1
5610,807,-1
5610,4920,-1
5610,2661,-1
5610,7798,1
5610,8496,-1
5610,9457,-1
5610,3115,-1
5610,6153,-1
5610,4094,-1
5610,6676,1
5610,9446,-1
5610,8107,1
5610,3816,1
5610,9976,-1
5610,4649,1
5610,3604,-1
5610,3067,-1
5610,8410,-1
5610,5470,1
5610,4951,-1
5610,5032,-1
5610,9806,1
5610,4910,1
5610,5975,1
5610,4237,-1
5610,3980,1
5610,5218,-1
5610,7432,-1
5610,9778,-1
5610,414,-1
5610,5053,1
5610,3966,1
5610,1822,-1
5610,3666,-1
5610,6828,1
5610,5591,1
5610,2761,-1
5610,7360,-1
5610,2289,1
5610,4282,1
5610,8611,1
5610,815,1
5610,3952,-1
5610,1940,1
5610,8328,1
5610,1098,-1
5610,4647,1
5610,424,1
5610,5543,1
5610,2003,1
5610,9981,-1
5610,3646,1
5610,3562,-1
5610,7482,-1
5610,6961,1
5610,6735,1
5610,187,1
5610,8864,1
5610,8213,-1
5610,6097,-1
5610,1511,1
5610,1402,1
5610,310,-1
5610,922,1
5610,4661,-1
5610,159,1
5610,8590,1
5610,7417,1
5610,1320,1
5610,1531,-1
5610,9975,1
5610,339,1
5610,2548,-1
5610,6159,1
5610,823,1
5610,2300,1
5610,7885,-1
5610,1281,-1
5610,1965,-1
5610,1380,-1
5610,1337,-1
5610,1338,1
5610,8801,1
5610,6903,1
5610,6196,-1
5610,6283,-1
5610,8131,-1
5610,6889,-1
5610,7291,-1
5610,6555,1
5610,1862,1
5610,4291,1
5610,2497,1
5610,6699,1
5610,5765,-1
5610,6678,-1
5610,5874,-1
5610,975,-1
5610,9355,-1
5610,1307,-1
5610,8310,1
5610,6708,-1
5610,7633,1
5610,9145,1
5610,9761,1
5610,3991,1
5610,5457,-1
5610,6746,1
5610,9499,-1
5610,3313,1
5610,1642,-1
5610,32,1
5610,2768,1
5610,4461,-1
5610,5145,1
5610,2269,-1
5610,7163,-1
5610,44,-1
5610,5970,1
5610,6167,1
5610,7289,-1
5610,7265,1
5610,3353,-1
5610,1690,-1
5610,4618,1
5610,3537,-1
5610,6084,-1
5610,6456,1
5610,7322,1
5610,9839,1
5610,10001,-1
5610,936,1
5610,5366,1
5610,7426,-1
5610,4841,-1
5610,3663,1
5610,8291,-1
5610,2741,-1
5610,9223,1
5610,10053,1
5610,8511,-1
5610,54,-1
5610,4867,-1
5610,4198,-1
5610,1328,-1
5610,5535,-1
5610,795,-1
5610,5585,1
5610,7278,-1
5610,4949,1
5610,896,1
5610,2614,-1
5610,8818,1
5610,7515,-1
5610,2211,1
5610,3506,-1
5610,7669,-1
5610,513,1
5610,8577,-1
5610,9921,-1
5610,1765,1
5610,3789,-1
5610,828,-1
5610,7698,1
5610,9292,1
5610,6767,-1
5610,7976,-1
5610,8436,1
5610,3766,1
5610,5397,-1
5610,7990,1
5610,8678,1
5610,199,-1
5610,2381,-1
5610,1076,-1
5610,6472,1
5610,7459,1
5610,6075,-1
5610,3801,1
5610,4706,1
5610,7575,1
5610,8894,1
5610,9784,-1
5610,1742,1
5610,6165,1
5610,8281,1
5610,3419,-1
5610,3392,1
5610,9035,-1
5610,6211,-1
5610,7027,1
5610,9844,1
5610,9070,1
5610,5873,-1
5610,2777,-1
5610,9448,1
5610,5289,1
5610,3378,-1
5610,4417,1
5610,5096,-1
5610,2723,1
5610,8867,-1
5610,4828,1
5610,4971,-1
5610,3677,-1
5610,2115,1
5610,7326,1
5610,2221,1
5610,5862,-1
5610,4829,-1
5610,9064,-1
5610,2842,1
5610,231,1
5610,9694,-1
5610,9479,-1
5610,5141,-1
5610,5198,1
5610,3479,-1
5610,4339,-1
5610,6523,1
5610,7201,1
5610,8614,-1
5610,8815,1
5610,444,-1
5610,4784,1
5610,5706,-1
5610,6497,1
5610,8166,-1
5610,1400,1
5610,1481,-1
5610,4210,1
5610,4314,-1
5610,8515,-1
5610,6671,-1
5610,695,1
5610,1996,1
5610,2183,-1
5610,6950,1
5610,6349,1
5610,494,-1
5610,8263,-1
5610,6865,1
5610,8014,1
5610,5163,1
5610,5634,1
5610,9466,-1
5610,2009,-1
5610,612,-1
5610,7243,-1
5610,2434,1
5610,1306,-1
5610,6517,-1
5610,7084,-1
5610,4520,-1
5610,4399,1
5610,9713,-1
5610,6901,-1
5610,2654,1
5610,7363,-1
5610,592,1
5610,8112,-1
5610,1454,-1
5610,387,-1
5610,7486,-1
5610,1144,-1
5610,7190,-1
5610,90,-1
